"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_calc_2_numbers[chromium-5-3-8]","tests","2026-09-17","broken","2026-09-17","TestDemo","test_ddt_demo","",""
"","0","test_01_login_failed[chromium-standard_user1-secret_sauce-Epic sadface: Username and password do not match any user in this service]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_login_ddt","",""
"","0","test_04_login_failed[chromium]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_login","",""
"","0","test_01_login_failed[chromium]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_login","",""
"","0","test_01_login_failed[chromium-standard_user1-secret_sauce1-Epic sadface: Username and password do not match any user in this service]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_login_ddt","",""
"","0","test_calc_2_numbers[chromium-2-3-5]","tests","2026-09-17","broken","2026-09-17","TestDemo","test_ddt_demo","",""
"","0","test_01_login_failed[chromium-standard_user--Password is required]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_login_ddt","",""
"","0","test_login[chromium]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_logout","",""
"","0","test_02_login_failed[chromium]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_login","",""
"","0","test_login[chromium]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_products","",""
"","0","test_01_login_failed[chromium-standard_user-secret_sauce1-Epic sadface: Username and password do not match any user in this service]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_login_ddt","",""
"","0","test_logout[chromium]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_logout","",""
"","0","test_add_product[chromium]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_products","",""
"","0","test_03_login_failed[chromium]","tests","2026-09-17","broken","2026-09-17","TestProducts","test_login","",""
